,count,date
OUR,2,22:52.3
OWN,2,22:52.3
PDF,2,22:52.3
POET,2,22:52.3
POG,2,22:52.3
POP,2,22:52.3
RBX,2,22:52.3
RCE,2,22:52.3
REX,2,22:52.3
RUP,2,22:52.3
SCAM,2,22:52.3
SGN,2,22:52.3
SOLD,2,22:52.3
STFU,2,22:52.3
TBH,2,22:52.3
TBIS,2,22:52.3
TIE,2,22:52.3
TNT,2,22:52.3
TOP,2,22:52.3
TOR,2,22:52.3
TRIG,2,22:52.3
UBQ,2,22:52.3
UBS,2,22:52.3
UFO,2,22:52.3
UIS,2,22:52.3
USB,2,22:52.3
USV,2,22:52.3
VICO,2,22:52.3
VISA,2,22:52.3
VWAP,2,22:52.3
WHY,2,22:52.3
WITH,2,22:52.3
WORK,2,22:52.3
WPS,2,22:52.3
XCG,2,22:52.3
XDG,2,22:52.3
XML,2,22:52.3
YEAR,2,22:52.3
YEN,2,22:52.3
YOYO,2,22:52.3
ZEN,2,22:52.3
ZSC,2,22:52.3
ACBT,1,22:52.3
ACH,1,22:52.3
AEX,1,22:52.3
AFK,1,22:52.3
AGI,1,22:52.3
AHT,1,22:52.3
AIM,1,22:52.3
ALSO,1,22:52.3
AML,1,22:52.3
AMP,1,22:52.3
ANI,1,22:52.3
ANTI,1,22:52.3
AOD,1,22:52.3
AOL,1,22:52.3
APEX,1,22:52.3
APK,1,22:52.3
ARDR,1,22:52.3
ARGS,1,22:52.3
ARM,1,22:52.3
ASIA,1,22:52.3
AST,1,22:52.3
ATTN,1,22:52.3
AUD,1,22:52.3
AVT,1,22:52.3
AWAY,1,22:52.3
BAAT,1,22:52.3
BABA,1,22:52.3
BABB,1,22:52.3
BAF,1,22:52.3
BAG,1,22:52.3
BAX,1,22:52.3
BBB,1,22:52.3
BBC,1,22:52.3
BCM,1,22:52.3
BCPT,1,22:52.3
BDC,1,22:52.3
BEST,1,22:52.3
BGR,1,22:52.3
BLE,1,22:52.3
BLUE,1,22:52.3
BLX,1,22:52.3
BONR,1,22:52.3
BOT,1,22:52.3
BOYS,1,22:52.3
BPE,1,22:52.3
BRB,1,22:52.3
BTH,1,22:52.3
BURN,1,22:52.3
BWK,1,22:52.3
CANN,1,22:52.3
CBOE,1,22:52.3
CDC,1,22:52.3
CEFS,1,22:52.3
CET,1,22:52.3
CFC,1,22:52.3
CFD,1,22:52.3
CFP,1,22:52.3
CHSB,1,22:52.3
CIO,1,22:52.3
CME,1,22:52.3
CMT,1,22:52.3
CNBC,1,22:52.3
COB,1,22:52.3
COM,1,22:52.3
COS,1,22:52.3
COTI,1,22:52.3
CRH,1,22:52.3
CRPT,1,22:52.3
CSG,1,22:52.3
CSS,1,22:52.3
DAMN,1,22:52.3
DATA,1,22:52.3
DCR,1,22:52.3
DDF,1,22:52.3
DEPA,1,22:52.3
DIDN,1,22:52.3
DIVX,1,22:52.3
DIY,1,22:52.3
DLT,1,22:52.3
DMT,1,22:52.3
DMZ,1,22:52.3
DNM,1,22:52.3
DNS,1,22:52.3
DOES,1,22:52.3
DOM,1,22:52.3
DRG,1,22:52.3
EARN,1,22:52.3
EBAY,1,22:52.3
EBTC,1,22:52.3
EDG,1,22:52.3
ELA,1,22:52.3
ELEC,1,22:52.3
ELI,1,22:52.3
ENE,1,22:52.3
EOM,1,22:52.3
EQT,1,22:52.3
ERP,1,22:52.3
ESC,1,22:52.3
ESL,1,22:52.3
ETA,1,22:52.3
ETCF,1,22:52.3
ETHC,1,22:52.3
EVA,1,22:52.3
EVIL,1,22:52.3
EWBF,1,22:52.3
FACT,1,22:52.3
FAST,1,22:52.3
FEEL,1,22:52.3
FET,1,22:52.3
FEW,1,22:52.3
FFIC,1,22:52.3
FIB,1,22:52.3
FIFA,1,22:52.3
FLP,1,22:52.3
FML,1,22:52.3
FTFY,1,22:52.3
FTP,1,22:52.3
FTSE,1,22:52.3
FUCK,1,22:52.3
FUEL,1,22:52.3
FWIW,1,22:52.3
FYB,1,22:52.3
GAME,1,22:52.3
GAP,1,22:52.3
GEM,1,22:52.3
GETS,1,22:52.3
GIVE,1,22:52.3
GOD,1,22:52.3
GOT,1,22:52.3
GOX,1,22:52.3
GPB,1,22:52.3
GPS,1,22:52.3
GTFO,1,22:52.3
GUP,1,22:52.3
GUY,1,22:52.3
GUYS,1,22:52.3
HAS,1,22:52.3
HAVE,1,22:52.3
HBO,1,22:52.3
HBT,1,22:52.3
HCP,1,22:52.3
HDOL,1,22:52.3
HEMP,1,22:52.3
HINT,1,22:52.3
HOW,1,22:52.3
HUSH,1,22:52.3
HYPE,1,22:52.3
IBAN,1,22:52.3
ICE,1,22:52.3
IDC,1,22:52.3
INK,1,22:52.3
INTO,1,22:52.3
IOHK,1,22:52.3
IPFS,1,22:52.3
IRC,1,22:52.3
ISIS,1,22:52.3
ISP,1,22:52.3
ITIC,1,22:52.3
ITNS,1,22:52.3
JPM,1,22:52.3
JPN,1,22:52.3
JSON,1,22:52.3
KBR,1,22:52.3
KEK,1,22:52.3
KICK,1,22:52.3
KNC,1,22:52.3
LADS,1,22:52.3
LANA,1,22:52.3
LAND,1,22:52.3
LAST,1,22:52.3
LATE,1,22:52.3
LBRY,1,22:52.3
LCC,1,22:52.3
LION,1,22:52.3
LOCI,1,22:52.3
LOLR,1,22:52.3
LOMO,1,22:52.3
LONG,1,22:52.3
LOTS,1,22:52.3
LPT,1,22:52.3
LRN,1,22:52.3
LRQ,1,22:52.3
LUNO,1,22:52.3
LVHM,1,22:52.3
MAIN,1,22:52.3
MAN,1,22:52.3
MAY,1,22:52.3
MBA,1,22:52.3
MCO,1,22:52.3
MEEE,1,22:52.3
MKR,1,22:52.3
MMA,1,22:52.3
MOIN,1,22:52.3
MONA,1,22:52.3
MOST,1,22:52.3
MOT,1,22:52.3
MOVE,1,22:52.3
MQTT,1,22:52.3
MSM,1,22:52.3
MSR,1,22:52.3
MSRP,1,22:52.3
NAGA,1,22:52.3
NCAA,1,22:52.3
NEBL,1,22:52.3
NEON,1,22:52.3
NEOS,1,22:52.3
NET,1,22:52.3
NFC,1,22:52.3
NFL,1,22:52.3
NHL,1,22:52.3
NPV,1,22:52.3
NVT,1,22:52.3
NXS,1,22:52.3
NYC,1,22:52.3
NZD,1,22:52.3
NZDT,1,22:52.3
OCD,1,22:52.3
OCR,1,22:52.3
OEM,1,22:52.3
OMFG,1,22:52.3
OMNI,1,22:52.3
ONCE,1,22:52.3
OTOH,1,22:52.3
OTX,1,22:52.3
OVER,1,22:52.3
PAID,1,22:52.3
PAIR,1,22:52.3
PART,1,22:52.3
PDN,1,22:52.3
PETS,1,22:52.3
PLAN,1,22:52.3
PLN,1,22:52.3
PLU,1,22:52.3
PLUS,1,22:52.3
POT,1,22:52.3
POV,1,22:52.3
PRE,1,22:52.3
PRG,1,22:52.3
PRIX,1,22:52.3
PSA,1,22:52.3
PUBG,1,22:52.3
PUMP,1,22:52.3
PUT,1,22:52.3
PWC,1,22:52.3
PXI,1,22:52.3
QGUP,1,22:52.3
QLR,1,22:52.3
QST,1,22:52.3
QTY,1,22:52.3
RBC,1,22:52.3
RCN,1,22:52.3
RCO,1,22:52.3
READ,1,22:52.3
REC,1,22:52.3
RED,1,22:52.3
REP,1,22:52.3
RIDE,1,22:52.3
RIP,1,22:52.3
RISC,1,22:52.3
RISE,1,22:52.3
ROFL,1,22:52.3
RSK,1,22:52.3
RXB,1,22:52.3
SAD,1,22:52.3
SAHP,1,22:52.3
SALE,1,22:52.3
SAME,1,22:52.3
SAN,1,22:52.3
SAT,1,22:52.3
SAY,1,22:52.3
SCL,1,22:52.3
SEO,1,22:52.3
SEXY,1,22:52.3
SHC,1,22:52.3
SHIT,1,22:52.3
SHND,1,22:52.3
SIM,1,22:52.3
SMH,1,22:52.3
SMT,1,22:52.3
SNHD,1,22:52.3
SNT,1,22:52.3
SOL,1,22:52.3
SOOO,1,22:52.3
SPV,1,22:52.3
STAK,1,22:52.3
STC,1,22:52.3
STN,1,22:52.3
STU,1,22:52.3
SURE,1,22:52.3
SWT,1,22:52.3
SYNX,1,22:52.3
TAM,1,22:52.3
TCL,1,22:52.3
TEL,1,22:52.3
TELL,1,22:52.3
TFL,1,22:52.3
THC,1,22:52.3
THEM,1,22:52.3
TIA,1,22:52.3
TIL,1,22:52.3
TIME,1,22:52.3
TINY,1,22:52.3
TIT,1,22:52.3
TIX,1,22:52.3
TKR,1,22:52.3
TKY,1,22:52.3
TLDW,1,22:52.3
TOS,1,22:52.3
TOWN,1,22:52.3
TRC,1,22:52.3
TRDT,1,22:52.3
TRN,1,22:52.3
TRNX,1,22:52.3
TTC,1,22:52.3
TTT,1,22:52.3
TXID,1,22:52.3
UAE,1,22:52.3
UBIQ,1,22:52.3
UKG,1,22:52.3
USE,1,22:52.3
VERI,1,22:52.3
VIB,1,22:52.3
VICE,1,22:52.3
VIII,1,22:52.3
WAIT,1,22:52.3
WANT,1,22:52.3
WASO,1,22:52.3
WAY,1,22:52.3
WEEK,1,22:52.3
WELL,1,22:52.3
WGR,1,22:52.3
WIFI,1,22:52.3
WIP,1,22:52.3
WOO,1,22:52.3
WPR,1,22:52.3
WSJ,1,22:52.3
WTYU,1,22:52.3
WUT,1,22:52.3
WWW,1,22:52.3
XBR,1,22:52.3
XJO,1,22:52.3
XMY,1,22:52.3
XOT,1,22:52.3
XST,1,22:52.3
XXX,1,22:52.3
YET,1,22:52.3
YOLO,1,22:52.3
YUGE,1,22:52.3
ZIL,1,22:52.3
ZOIN,1,22:52.3
ZOOM,1,22:52.3
